domain,tier,multiplier,bids,views,clicks,shrunk_rate
the-bibliofile.com,cream,1.15,95,16,16,0.147095
entertainment-focus.com,cream,1.15,35,8,8,0.159797
dailydot.com,cream,1.15,175,28,28,0.148228
urbanbellemag.com,cream,1.15,95,17,17,0.155095
world-weather.info,cream,1.15,808,129,129,0.156786
longtermcarerd.com,cream,1.15,116,21,21,0.160184
cordcuttersnews.com,cream,1.15,178,31,31,0.160514
i24news.tv,cream,1.15,116,21,21,0.160184
q8rashaqa.com,cream,1.15,40,9,9,0.162669
valleycentral.com,cream,1.15,294,47,47,0.152428
pocus101.com,cream,1.15,186,33,33,0.163828
ozarksfirst.com,cream,1.15,1297,212,212,0.161558
thegrio.com,cream,1.15,118,21,21,0.158019
sneakerbardetroit.com,cream,1.15,163,28,28,0.157445
veganrunnereats.com,cream,1.15,34,7,7,0.146669
tennisforum.com,cream,1.15,44,9,9,0.153876
liveboldandbloom.com,cream,1.15,59,12,12,0.16165
everydaywholesome.com,cream,1.15,75,14,14,0.156065
healthywealthyvida.com,cream,1.15,99,17,17,0.150285
1350kman.com,cream,1.15,80,14,14,0.148971
chelseyamernutrition.com,cream,1.15,155,25,25,0.148037
foxreno.com,cream,1.15,40,8,8,0.148383
truthpress.com,cream,1.15,219,36,36,0.154164
myhighplains.com,cream,1.15,34,8,8,0.162294
balleralert.com,cream,1.15,196,32,32,0.152154
wcsx.com,cream,1.15,55,11,11,0.157492
refinery29.com,cream,1.15,663,102,102,0.15063
2822news.com,cream,1.15,108,18,18,0.147731
registerguard.com,cream,1.15,271,47,47,0.164076
ldnews.com,cream,1.15,871,141,141,0.159142
keloland.com,cream,1.15,2112,326,326,0.153309
elkharttruth.com,cream,1.15,215,35,35,0.152599
backchina.com,cream,1.15,599,95,95,0.154828
mybjswholesale.com,insufficient_data,1.0,2,0,0,0.074588
motorcitybengals.com,insufficient_data,1.0,15,3,3,0.119707
mychefsapron.com,insufficient_data,1.0,14,0,0,0.054246
myadventuresacrosstheworld.com,insufficient_data,1.0,1,0,0,0.076994
myaudiq5.com,insufficient_data,1.0,2,0,0,0.074588
